,Gender,Age,Annual_Income,Spending_Score
0,1,19,15,39
1,1,21,15,81
2,0,20,16,6
3,0,23,16,77
4,0,31,17,40
5,0,22,17,76
6,0,35,18,6
7,0,23,18,94
8,1,64,19,3
9,0,30,19,72
10,1,67,19,14
11,0,35,19,99
12,0,58,20,15
13,0,24,20,77
14,1,37,20,13
15,1,22,20,79
16,0,35,21,35
17,1,20,21,66
18,1,52,23,29
19,0,35,23,98
20,1,35,24,35
21,1,25,24,73
22,0,46,25,5
23,1,31,25,73
24,0,54,28,14
25,1,29,28,82
26,0,45,28,32
27,1,35,28,61
28,0,40,29,31
29,0,23,29,87
30,1,60,30,4
31,0,21,30,73
32,1,53,33,4
33,1,18,33,92
34,0,49,33,14
35,0,21,33,81
36,0,42,34,17
37,0,30,34,73
38,0,36,37,26
39,0,20,37,75
40,0,65,38,35
41,1,24,38,92
42,1,48,39,36
43,0,31,39,61
44,0,49,39,28
45,0,24,39,65
46,0,50,40,55
47,0,27,40,47
48,0,29,40,42
49,0,31,40,42
50,0,49,42,52
51,1,33,42,60
52,0,31,43,54
53,1,59,43,60
54,0,50,43,45
55,1,47,43,41
56,0,51,44,50
57,1,69,44,46
58,0,27,46,51
59,1,53,46,46
60,1,70,46,56
61,1,19,46,55
62,0,67,47,52
63,0,54,47,59
64,1,63,48,51
65,1,18,48,59
66,0,43,48,50
67,0,68,48,48
68,1,19,48,59
69,0,32,48,47
70,1,70,49,55
71,0,47,49,42
72,0,60,50,49
73,0,60,50,56
74,1,59,54,47
75,1,26,54,54
76,0,45,54,53
77,1,40,54,48
78,0,23,54,52
79,0,49,54,42
80,1,57,54,51
81,1,38,54,55
82,1,67,54,41
83,0,46,54,44
84,0,21,54,57
85,1,48,54,46
86,0,55,57,58
87,0,22,57,55
88,0,34,58,60
89,0,50,58,46
90,0,68,59,55
91,1,18,59,41
92,1,48,60,49
93,0,40,60,40
94,0,32,60,42
95,1,24,60,52
96,0,47,60,47
97,0,27,60,50
98,1,48,61,42
99,1,20,61,49
100,0,23,62,41
101,0,49,62,48
102,1,67,62,59
103,1,26,62,55
104,1,49,62,56
105,0,21,62,42
106,0,66,63,50
107,1,54,63,46
108,1,68,63,43
109,1,66,63,48
110,1,65,63,52
111,0,19,63,54
112,0,38,64,42
113,1,19,64,46
114,0,18,65,48
115,0,19,65,50
116,0,63,65,43
117,0,49,65,59
118,0,51,67,43
119,0,50,67,57
120,1,27,67,56
121,0,38,67,40
122,0,40,69,58
123,1,39,69,91
124,0,23,70,29
125,0,31,70,77
126,1,43,71,35
127,1,40,71,95
128,1,59,71,11
129,1,38,71,75
130,1,47,71,9
131,1,39,71,75
132,0,25,72,34
133,0,31,72,71
134,1,20,73,5
135,0,29,73,88
136,0,44,73,7
137,1,32,73,73
138,1,19,74,10
139,0,35,74,72
140,0,57,75,5
141,1,32,75,93
142,0,28,76,40
143,0,32,76,87
144,1,25,77,12
145,1,28,77,97
146,1,48,77,36
147,0,32,77,74
148,0,34,78,22
149,1,34,78,90
150,1,43,78,17
151,1,39,78,88
152,0,44,78,20
153,0,38,78,76
154,0,47,78,16
155,0,27,78,89
156,1,37,78,1
157,0,30,78,78
158,1,34,78,1
159,0,30,78,73
160,0,56,79,35
161,0,29,79,83
162,1,19,81,5
163,0,31,81,93
164,1,50,85,26
165,0,36,85,75
166,1,42,86,20
167,0,33,86,95
168,0,36,87,27
169,1,32,87,63
170,1,40,87,13
171,1,28,87,75
172,1,36,87,10
173,1,36,87,92
174,0,52,88,13
175,0,30,88,86
176,1,58,88,15
177,1,27,88,69
178,1,59,93,14
179,1,35,93,90
180,0,37,97,32
181,0,32,97,86
182,1,46,98,15
183,0,29,98,88
184,0,41,99,39
185,1,30,99,97
186,0,54,101,24
187,1,28,101,68
188,0,41,103,17
189,0,36,103,85
190,0,34,103,23
191,0,32,103,69
192,1,33,113,8
193,0,38,113,91
194,0,47,120,16
195,0,35,120,79
196,0,45,126,28
197,1,32,126,74
